DatasetID	CellClusterID	FileType
igvf_b01_LeftCortex	igvf_b01_LeftCortex_Microglia	GeneExpressionCPM
igvf_b01_LeftCortex	igvf_b01_LeftCortex_VLMC	GeneExpressionCPM
igvf_b01_LeftCortex	igvf_b01_LeftCortex_Endothelial	GeneExpressionCPM
igvf_b01_LeftCortex	igvf_b01_LeftCortex_Ependymal	GeneExpressionCPM
K562_10XMultiome_Xu2022	K562_10XMultiome_Xu2022_CellCluster0	GeneExpressionCPM
Ma2020_BMMC_SingleDonor	Ma2020_BMMC_SingleDonor_CD4-positive	GeneExpressionCPM
Ma2020_BMMC_SingleDonor	Ma2020_BMMC_SingleDonor_CD8-positive	GeneExpressionCPM
Ma2020_BMMC_SingleDonor	Ma2020_BMMC_SingleDonor_common-myeloid-progenitor	GeneExpressionCPM
Ma2020_BMMC_SingleDonor	Ma2020_BMMC_SingleDonor_erythrocyte	GeneExpressionCPM
Ma2020_BMMC_SingleDonor	Ma2020_BMMC_SingleDonor_erythroid-progenitor-cell	GeneExpressionCPM
Ma2020_BMMC_SingleDonor	Ma2020_BMMC_SingleDonor_granulocyte	GeneExpressionCPM
Ma2020_BMMC_SingleDonor	Ma2020_BMMC_SingleDonor_hematopoietic-stem-cell	GeneExpressionCPM
Ma2020_BMMC_SingleDonor	Ma2020_BMMC_SingleDonor_macrophage	GeneExpressionCPM
Ma2020_BMMC_SingleDonor	Ma2020_BMMC_SingleDonor_mature-NK-T-cell	GeneExpressionCPM
Ma2020_BMMC_SingleDonor	Ma2020_BMMC_SingleDonor_memory-B-cell	GeneExpressionCPM
Ma2020_BMMC_SingleDonor	Ma2020_BMMC_SingleDonor_monocyte	GeneExpressionCPM
Ma2020_BMMC_SingleDonor	Ma2020_BMMC_SingleDonor_naive-B-cell	GeneExpressionCPM
Ma2020_BMMC_SingleDonor	Ma2020_BMMC_SingleDonor_neutrophil	GeneExpressionCPM
Ma2020_BMMC_SingleDonor	Ma2020_BMMC_SingleDonor_plasma-cell	GeneExpressionCPM
GM12878_10XMultiome	GM12878_10XMultiome_Cluster1	GeneExpressionFilteredH5
K562_10XMultiome_Xu2022	K562_10XMultiome_Xu2022_CellCluster0	GeneExpressionFilteredH5
GerminalCenter10X	GerminalCenter10xATAC_combined_Cluster3	ATACtagAlignSorted
GerminalCenter10X	GerminalCenter10xATAC_combined_Cluster3	ATACtagAlignSortedIndex
